Sleep,,,,,,,,
Start Time,End Time,Minutes Asleep,Minutes Awake,Number of Awakenings,Time in Bed,Minutes REM Sleep,Minutes Light Sleep,Minutes Deep Sleep
2020-04-15 8:37PM,2020-04-16 5:50AM,481,72,41,553,111,281,89
2020-04-14 8:48PM,2020-04-15 7:00AM,530,81,43,611,146,275,109
2020-04-13 8:53PM,2020-04-14 5:41AM,472,56,39,528,120,245,107
2020-04-12 9:54PM,2020-04-13 5:43AM,405,64,28,469,68,253,84
2020-04-11 9:19PM,2020-04-12 6:52AM,510,62,50,572,111,267,132
2020-04-10 11:15PM,2020-04-11 7:47AM,464,48,38,512,122,232,110
2020-04-09 10:12PM,2020-04-10 7:27AM,495,59,27,554,104,318,73
2020-04-08 9:59PM,2020-04-09 5:52AM,416,57,34,473,94,226,96
2020-04-07 9:03PM,2020-04-08 7:06AM,532,70,39,602,110,309,113
2020-04-06 9:23PM,2020-04-07 7:05AM,498,84,41,582,98,301,99
2020-04-05 9:18PM,2020-04-06 7:06AM,522,66,39,588,142,300,80
2020-04-04 9:04PM,2020-04-05 5:37AM,452,61,36,513,95,259,98
2020-04-03 8:58PM,2020-04-04 7:36AM,558,79,50,637,80,328,150
2020-04-02 10:31PM,2020-04-03 7:05AM,436,78,38,514,68,283,85
2020-04-01 10:13PM,2020-04-02 6:28AM,424,70,34,494,114,183,127
2020-03-31 9:46PM,2020-04-01 7:36AM,503,87,39,590,115,285,103
2020-03-30 8:32PM,2020-03-31 4:37AM,420,65,34,485,89,252,79
2020-03-29 9:20PM,2020-03-30 6:03AM,442,81,34,523,82,248,112
2020-03-28 9:00PM,2020-03-29 7:25AM,561,64,42,625,130,285,146
2020-03-27 9:25PM,2020-03-28 5:42AM,429,68,35,497,87,253,89
2020-03-26 9:07PM,2020-03-27 7:35AM,535,93,46,628,115,290,130
2020-03-25 8:55PM,2020-03-26 6:09AM,486,68,39,554,118,222,146
2020-03-24 8:28PM,2020-03-25 5:05AM,462,55,36,517,114,242,106
2020-03-23 9:14PM,2020-03-24 5:02AM,432,36,34,468,90,263,79
2020-03-22 10:01PM,2020-03-23 5:45AM,398,66,33,464,90,218,90
2020-03-22 1:47PM,2020-03-22 3:21PM,83,1,1,93,N/A,N/A,N/A
2020-03-21 8:57PM,2020-03-22 3:57AM,365,54,28,419,72,215,78
2020-03-20 10:37PM,2020-03-21 5:55AM,379,58,30,437,65,207,107
