timestamp,overall_score,composition_score,revitalization_score,duration_score,deep_sleep_in_minutes,resting_heart_rate,restlessness
2020-04-09T05:52:30Z,80,21,22,37,95,61,0.10876452
2020-04-08T07:06:00Z,88,21,22,45,113,61,0.066390041
2020-04-07T07:05:30Z,85,20,21,44,99,60,0.089732528
2020-04-06T07:06:00Z,89,21,22,46,80,61,0.083041958
2020-04-05T05:37:30Z,81,20,20,41,98,61,0.086660175
2020-04-04T07:36:00Z,82,21,17,44,150,59,0.075471698
2020-04-03T07:05:30Z,77,17,20,40,85,59,0.130264447
2020-04-02T06:28:00Z,80,24,20,36,127,59,0.104145602
2020-04-01T07:36:30Z,87,21,22,44,103,60,0.082133785
2020-03-31T04:37:30Z,76,20,20,36,79,59,0.099897013
2020-03-30T06:03:30Z,81,20,22,39,112,61,0.108003857
2020-03-29T07:25:30Z,90,25,20,45,146,60,0.099920064
2020-03-28T05:42:00Z,76,19,20,37,89,60,0.087967644
2020-03-27T07:35:30Z,87,22,22,43,130,59,0.07716786
2020-03-26T06:09:30Z,83,25,17,41,146,60,0.083859333
2020-03-25T05:05:30Z,86,22,22,42,105,59,0.067846608
2020-03-24T05:02:00Z,82,20,22,40,79,61,0.073513514
2020-03-23T05:45:00Z,78,21,21,36,90,60,0.089305402
2020-03-22T03:57:00Z,74,19,20,35,77,60,0.06746988
2020-03-21T05:55:00Z,68,19,14,35,106,57,0.069714286
2020-03-20T06:29:00Z,73,18,19,36,74,58,0.071856287
2020-03-19T06:35:00Z,78,21,20,37,76,57,0.06482593
2020-03-18T07:44:00Z,69,17,21,31,85,57,0.082847141
2020-03-17T07:48:30Z,70,20,21,29,78,56,0.086226204
2020-03-16T07:35:30Z,78,20,20,38,108,57,0.090661831
2020-03-15T09:45:00Z,87,22,21,44,123,58,0.106153846
2020-03-14T09:44:00Z,90,25,21,44,150,58,0.09636768
2020-03-13T06:14:30Z,78,19,23,36,41,60,0.076923077
2020-03-12T08:37:30Z,82,21,16,45,82,57,0.087489779
2020-03-11T07:54:00Z,76,17,14,45,102,56,0.090760425
2020-03-10T07:14:00Z,76,19,19,38,95,55,0.096564531
2020-03-09T07:12:00Z,82,22,21,39,85,55,0.072388831
2020-03-08T08:26:00Z,85,23,22,40,117,57,0.083099907
2020-03-07T10:01:00Z,91,25,22,44,162,58,0.0761347
2020-03-06T09:00:30Z,78,22,20,36,126,58,0.087268994
2020-03-05T08:14:30Z,82,19,18,45,97,58,0.087026591
2020-03-04T07:09:30Z,85,22,21,42,118,58,0.077457795
2020-03-03T08:21:30Z,87,22,21,44,137,60,0.094038623
2020-03-02T08:36:00Z,86,25,20,41,152,61,0.145554681
2020-03-01T07:48:00Z,86,21,21,44,94,61,0.082440231
2020-02-29T09:14:30Z,80,19,18,43,106,61,0.097210482
2020-02-28T07:59:30Z,81,18,20,43,91,61,0.107755102
2020-02-27T07:34:30Z,77,23,15,39,135,60,0.104385965
2020-02-26T09:04:30Z,80,22,16,42,102,59,0.182239382
2020-02-25T06:59:30Z,77,18,22,37,89,60,0.102145046
2020-02-24T06:27:00Z,75,21,18,36,56,62,0.113989637
2020-02-23T08:55:30Z,84,19,21,44,121,62,0.075082508
2020-02-22T08:39:30Z,72,18,14,40,100,60,0.088148874
2020-02-21T08:24:30Z,86,22,21,43,134,60,0.091554854
2020-02-20T07:27:30Z,87,22,20,45,99,61,0.081952921
2020-02-19T07:17:30Z,81,20,19,42,95,60,0.077457795
2020-02-18T06:48:00Z,79,17,20,42,86,60,0.076117983
2020-02-17T06:13:30Z,85,22,22,41,100,61,0.080788177
2020-02-16T07:10:30Z,82,21,20,41,81,61,0.086956522
2020-02-15T06:27:30Z,80,22,21,37,88,62,0.063803681
2020-02-06T01:43:30Z,68,20,19,29,37,59,0.081967213
2020-02-04T08:07:30Z,85,21,20,44,69,58,0.089270386
2020-02-03T07:06:00Z,85,21,21,43,79,59,0.072115385
2020-02-01T08:31:30Z,74,17,22,35,89,62,0.100097182
2020-01-29T08:22:30Z,90,22,22,46,106,63,0.063730084
2020-01-22T06:31:30Z,73,18,19,36,22,58,0.09801877
2020-01-20T05:59:00Z,84,21,21,42,75,57,0.075757576
2020-01-18T08:41:30Z,83,19,20,44,113,57,0.093042749
2020-01-15T08:15:00Z,86,22,20,44,93,57,0.066108787
2020-01-14T07:38:30Z,79,22,22,35,94,57,0.081807082
2020-01-13T08:01:30Z,85,21,23,41,79,58,0.093093093
2020-01-01T03:52:30Z,77,19,21,37,82,63,0.09033877
2019-12-31T07:39:00Z,82,19,21,42,114,62,0.079968944
2019-12-30T05:51:00Z,86,23,17,46,109,61,0.077402135
2019-12-29T05:00:00Z,77,18,19,40,76,61,0.081612586
2019-12-28T05:29:00Z,76,18,22,36,92,60,0.06639428
2019-12-27T05:52:30Z,87,23,23,41,113,61,0.068466731
2019-12-26T04:58:30Z,65,15,18,32,84,61,0.110741971
2019-12-25T04:58:30Z,69,16,18,35,77,58,0.082998661
2019-12-24T08:44:00Z,85,22,20,43,118,57,0.108661417
2019-12-22T07:18:00Z,82,21,22,39,105,58,0.081612586
2019-12-21T09:03:00Z,83,20,18,45,102,58,0.072173913
2019-12-20T07:07:00Z,78,19,19,40,95,57,0.110009911
2019-12-19T06:59:00Z,88,21,22,45,95,58,0.078181818
2019-12-18T06:26:30Z,73,17,20,36,65,58,0.096
2019-12-17T10:59:30Z,84,19,21,44,110,57,0.088011088
2019-12-15T09:47:00Z,88,22,21,45,98,56,0.102074689
2019-12-14T07:57:30Z,84,21,22,41,115,57,0.079489696
2019-12-13T10:02:30Z,88,23,22,43,154,57,0.093772894
2019-12-12T08:41:00Z,88,24,18,46,129,57,0.093942054
2019-12-08T06:21:30Z,75,18,22,35,100,59,0.09483667
2019-12-07T07:40:00Z,80,21,18,41,82,59,0.089707271
2019-12-06T09:10:30Z,84,22,21,41,103,58,0.098294885
2019-12-05T08:11:30Z,88,19,24,45,83,59,0.059233449
2019-12-04T06:22:00Z,75,17,22,36,75,60,0.099678457
2019-12-03T08:46:30Z,92,25,22,45,149,61,0.090196078
2019-12-02T07:02:30Z,81,19,21,41,87,60,0.080930233
2019-12-01T08:47:30Z,86,21,20,45,76,59,0.088105727
2019-11-30T07:30:30Z,87,22,20,45,103,58,0.070038911
2019-11-29T06:58:30Z,73,16,23,34,62,58,0.06080207
2019-11-27T06:28:30Z,83,22,21,40,99,58,0.058215962
2019-11-26T06:44:00Z,87,20,22,45,91,58,0.083708371
2019-11-25T06:30:30Z,81,18,21,42,92,59,0.085741811
2019-11-24T07:58:30Z,82,19,21,42,63,59,0.097659403
2019-11-23T09:54:30Z,85,22,20,43,146,58,0.080550098
2019-11-22T05:57:00Z,89,24,23,42,133,60,0.072636816
2019-11-21T07:13:00Z,79,18,20,41,101,59,0.085606773
2019-11-20T06:12:30Z,83,23,19,41,116,58,0.077145612
2019-10-31T06:49:30Z,78,18,20,40,92,58,0.083414161
